1,6,2025-01-31T21:48:04.143777200,Placed
2,8,2025-01-31T21:49:20.232086100,Placed
3,19,2025-01-31T21:49:43.900787600,Placed
4,11,2025-01-31T21:51:01.610324300,Placed
5,13,2025-01-31T21:51:05.815458200,Placed
6,20,2025-01-31T21:51:10.855003500,Placed
7,20,2025-01-31T21:51:13.000316200,Placed
8,11,2025-01-31T21:52:37.498844200,Placed
9,11,2025-01-31T21:56:06.108639400,Placed
10,11,2025-01-31T21:56:20.527085700,Placed
11,12,2025-01-31T21:58:09.089360100,Placed
12,14,2025-01-31T21:59:06.594917,Placed
13,14,2025-01-31T21:59:12.293770200,Placed
14,14,2025-01-31T21:59:24.935253400,Placed
15,6,2025-01-31T21:59:25.975395200,Placed
16,6,2025-01-31T21:59:32.411050100,Placed
17,15,2025-01-31T22:05:19.927147100,Placed
